scenario,region,GCAM_region_ID,year,gdpcap1q
Reference,Middle East,21,2030,952.1681946379147
Reference,Middle East,21,2040,1180.2138574614496
Reference,Middle East,21,2050,1430.9536612495524
Reference,Pakistan,22,2020,112.59938437812075
Reference,Pakistan,22,2030,145.263309442398
Reference,Pakistan,22,2040,216.03267271747225
Reference,Pakistan,22,2050,329.86641563397353
Reference,Russia,23,2020,936.7763711851464
Reference,Russia,23,2030,1178.08558332388
Reference,Russia,23,2040,1451.1375377273023
Reference,Russia,23,2050,1622.32137755913
Reference,South Africa,24,2020,11.461320841334059
Reference,South Africa,24,2030,23.79350643377331
Reference,South Africa,24,2040,43.34303804919483
Reference,South Africa,24,2050,75.15892540078028
Reference,South America_Northern,25,2020,NA
Reference,South America_Northern,25,2030,NA
Reference,South America_Northern,25,2040,NA
Reference,South America_Northern,25,2050,NA
Reference,South America_Southern,26,2020,432.1245183571962
Reference,South America_Southern,26,2030,570.303206028484
Reference,South America_Southern,26,2040,757.6071541326455
Reference,South America_Southern,26,2050,1012.7500215825967
Reference,South Asia,27,2020,110.56556151367712
Reference,South Asia,27,2030,171.86258934306883
Reference,South Asia,27,2040,252.16607175906358
Reference,South Asia,27,2050,372.91018578273406
Reference,South Korea,28,2020,2406.804718426845
Reference,South Korea,28,2030,3174.868007431877
Reference,South Korea,28,2040,4001.3543986538166
Reference,South Korea,28,2050,5008.230774602474
Reference,Southeast Asia,29,2020,315.67435503586825
Reference,Southeast Asia,29,2030,467.8286904928438
Reference,Southeast Asia,29,2040,663.0502323953818
Reference,Southeast Asia,29,2050,936.5557938049755
Reference,USA,1,2020,3267.364154375037
Reference,USA,1,2030,3447.761184239003
Reference,USA,1,2040,3663.579443789309
Reference,USA,1,2050,3844.928465548904
